time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.84 0.16 10 inf
200 3.4178990931891327 0.21 0.79 10 inf
300 1.6215917971105713 0.51 0.49 5 inf
400 3.780232209382391 0.13 0.87 5 inf
500 2.25746778972596 0.37 0.63 2 inf
600 3.461786684325099 0.37 0.63 2 inf
700 4.626134604494516 0.09 0.91 2 inf
800 3.3451609423266393 0.05 0.95 1 inf
900 5.33973504657839 0.0 1.0 1 3
1000 5.932525557590306 0.0 1.0 1 3
1100 6.665692447758179 0.0 1.0 1 3
1200 7.480772705542945 0.0 1.0 1 3
1300 8.394679757903232 0.0 1.0 1 3
1400 9.467273013427251 0.0 1.0 1 3
1500 10.711114901381071 0.0 1.0 1 3
1600 12.264550863586845 0.0 1.0 1 3
1700 14.241108817496526 0.0 1.0 1 3
1800 17.037799269802104 0.0 1.0 1 3
1900 21.83402385921758 0.0 1.0 1 3
