time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.88 0.12 10 inf
200 3.7852018352607115 0.38 0.62 10 inf
300 3.253882831623357 0.14 0.86 10 inf
400 1.769406733623455 0.62 0.38 5 inf
500 5.036459212999446 0.22 0.78 5 inf
600 4.591985225155963 0.21 0.79 2 inf
700 3.47880357607451 0.11 0.89 1 inf
800 5.0372321226988515 0.03 0.97 1 3
900 5.352333299735288 0.21 0.79 1 3
1000 6.953015782647129 0.0 1.0 1 3
1100 6.662817026333383 0.02 0.98 1 3
1200 7.57851172320871 0.0 1.0 1 3
1300 8.399623908004907 0.0 1.0 1 3
1400 9.45676147821303 0.0 1.0 1 3
1500 10.72208392433078 0.0 1.0 1 3
1600 12.258821753813269 0.0 1.0 1 3
1700 14.221340464571094 0.0 1.0 1 3
1800 17.045527753514506 0.0 1.0 1 3
1900 21.841014797658335 0.0 1.0 1 3
