time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.016167575638109468 1.3333333333333333 1.349500908971443
200 0.014928099633968149 1.1666666666666667 1.1815947663006348
300 0.01686915724089638 1.1666666666666667 1.183535823907563
400 0.0168691572412553 1.1666666666666667 1.1835358239079221
500 0.016869157242275376 1.1666666666666667 1.1835358239089422
600 0.016881518218774486 1.0 1.0168815182187745
700 0.016881518218776117 1.0 1.0168815182187763
800 0.016881518218770077 1.0 1.01688151821877
900 0.01688151821893735 1.0 1.0168815182189375
1000 0.016881518218769934 1.0 1.01688151821877
1100 0.016881518218770798 1.0 1.016881518218771
1200 0.01688151821876994 1.0 1.01688151821877
1300 0.016881518218769938 1.0 1.01688151821877
1400 0.01688151821876993 1.0 1.01688151821877
1500 0.01688151821876993 1.0 1.01688151821877
1600 0.016881518218769934 1.0 1.01688151821877
1700 0.016881518218769927 1.0 1.01688151821877
1800 0.01688151821876993 1.0 1.01688151821877
1900 0.016881518218769934 1.0 1.01688151821877
