time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.89 0.11 10 inf
200 3.7030478057067406 0.07 0.93 10 inf
300 1.3583144124455306 0.45 0.55 5 inf
400 2.845029002286136 0.22 0.78 5 inf
500 2.391634221041753 0.37 0.63 2 inf
600 3.559277909342967 0.28 0.72 2 inf
700 4.0701339665524685 0.15 0.85 1 inf
800 5.224273536746444 0.0 1.0 1 3
900 5.271954919125759 0.0 1.0 1 3
1000 5.931240063689717 0.0 1.0 1 3
1100 6.659706201907276 0.0 1.0 1 3
1200 7.4740437991895075 0.0 1.0 1 3
1300 8.39449473845053 0.0 1.0 1 3
1400 9.468712736489397 0.0 1.0 1 3
1500 10.70953948914821 0.0 1.0 1 3
1600 12.26465861101217 0.0 1.0 1 3
1700 14.240774340674808 0.0 1.0 1 3
1800 17.063771636311024 0.0 1.0 1 3
1900 21.81975717803947 0.0 1.0 1 3
