time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.48 0.52 1.0 0.48141947140835656
200 3.8746443818905245 0.91 0.09 0.0989010989010989 1.3721263758103919
300 1.6450909327358025 0.77 0.23 0.2857142857142857 1.0056021623188338
400 2.658093281845367 0.78 0.22 0.21794871794871795 1.1596413881017167
500 2.686635923022653 0.91 0.09 0.14285714285714285 1.252603381036923
600 2.8649357341169983 0.69 0.31 0.2753623188405797 0.8353375279794187
700 4.904361412840324 0.93 0.07 0.021505376344086023 1.3571705532065736
800 3.423049084828279 0.79 0.21 0.08860759493670886 0.9307684347824468
900 5.632239627410192 0.78 0.22 0.10256410256410256 0.9294911444288425
1000 6.34311194498297 0.79 0.21 0.16455696202531644 0.9930618078212701
1100 6.664578615575552 0.79 0.21 0.26582278481012656 0.9942597023872688
1200 7.46886711003575 0.81 0.19 0.2345679012345679 0.9936626360911754
1300 8.39483857212116 0.76 0.24 0.3157894736842105 0.9937199321352584
1400 9.45806796693669 0.82 0.18 0.21951219512195122 0.9940052334620815
1500 10.713098141363101 0.76 0.24 0.3157894736842105 0.9939686686638606
1600 12.252904152895619 0.76 0.24 0.3157894736842105 0.9946297561026488
1700 14.228088200188363 0.76 0.24 0.3157894736842105 0.9927812350445986
1800 17.05512903402556 0.71 0.29 0.4084507042253521 0.9939081224865081
1900 21.81793348274461 0.79 0.21 0.26582278481012656 0.993909304835721
