time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.83 0.17 10 inf
200 3.6449642851889226 0.21 0.79 10 inf
300 1.9605593706828044 0.37 0.63 5 inf
400 2.698738013555306 0.31 0.69 5 inf
500 2.773776846884239 0.4 0.6 5 inf
600 3.9260074104625042 0.15 0.85 5 inf
700 3.11759235327101 0.14 0.86 2 inf
800 3.2121437184961663 0.28 0.72 1 inf
900 6.029739965468389 0.01 0.99 1 3
1000 5.934643885121666 0.0 1.0 1 3
1100 6.658803307924801 0.0 1.0 1 3
1200 7.469732920438065 0.0 1.0 1 3
1300 8.40064136082003 0.0 1.0 1 3
1400 9.463905676404014 0.0 1.0 1 3
1500 10.717276109314183 0.0 1.0 1 3
1600 12.263674701361047 0.0 1.0 1 3
1700 14.252679771096677 0.0 1.0 1 3
1800 17.035781351335107 0.0 1.0 1 3
1900 21.82272665696625 0.0 1.0 1 3
