time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.48 0.52 1.0 0.5037281040094727
200 3.7030478057067406 0.95 0.05 0.031578947368421054 1.6618189711683062
300 1.3583144124455306 0.73 0.27 0.3287671232876712 0.9395279801088066
400 2.845029002286136 0.86 0.14 0.13953488372093023 1.3026800602229447
500 2.391634221041753 0.76 0.24 0.2631578947368421 1.0082461326182035
600 3.559277909342967 0.76 0.24 0.13157894736842105 1.0065509323738064
700 4.0701339665524685 0.84 0.16 0.13095238095238096 0.8892454400469354
800 5.224273536746444 0.85 0.15 0.0 0.9943770276384647
900 5.271954919125759 0.76 0.24 0.3026315789473684 0.9940360392890202
1000 5.931240063689717 0.81 0.19 0.2345679012345679 0.9937883575787482
1100 6.659706201907276 0.78 0.22 0.28205128205128205 0.9935710559790254
1200 7.4740437991895075 0.82 0.18 0.21951219512195122 0.9937033359405624
1300 8.39449473845053 0.82 0.18 0.21951219512195122 0.9926027877068772
1400 9.468712736489397 0.72 0.28 0.3888888888888889 0.9943355295433705
1500 10.70953948914821 0.75 0.25 0.3333333333333333 0.9930160483378058
1600 12.26465861101217 0.75 0.25 0.3333333333333333 0.9937437078782992
1700 14.240774340674808 0.79 0.21 0.26582278481012656 0.9922784028716277
1800 17.063771636311024 0.76 0.24 0.3157894736842105 0.9938250516460898
1900 21.81975717803947 0.75 0.25 0.3333333333333333 0.994132298700025
