time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.86 0.14 10 inf
200 3.38849432447062 0.18 0.82 10 inf
300 1.492649216664144 0.4 0.6 5 inf
400 2.023248685140632 0.39 0.61 5 inf
500 4.052393368658241 0.34 0.66 5 inf
600 4.506991668077005 0.03 0.97 5 inf
700 2.4101858061618513 0.43 0.57 2 inf
800 5.656261400568202 0.05 0.95 2 inf
900 3.60379226241091 0.0 1.0 1 inf
1000 5.924671529323591 0.0 1.0 1 3
1100 6.664340147873163 0.03 0.97 1 3
1200 7.578544469178059 0.0 1.0 1 3
1300 8.398592574615009 0.0 1.0 1 3
1400 9.471848910464598 0.0 1.0 1 3
1500 10.713788644184234 0.0 1.0 1 3
1600 12.2514883275573 0.0 1.0 1 3
1700 14.251281630239966 0.0 1.0 1 3
1800 17.055583307501596 0.0 1.0 1 3
1900 21.837013881122243 0.0 1.0 1 3
